Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled, Transport (tCO2e/yr) , Housing (tCO2e/yr) , Food (tCO2e/yr) , Goods (tCO2e/yr) , Services (tCO2e/yr) , Total Household Carbon Footprint (tCO2e/yr) , Households , Total County Carbon Footprint (tCO2e/yr) 
58,TX,LOVING ,9969,23548, -   ,24184,16.6,10.9,6.7,4.9,5.6,44.6,53,2366
224,TX,KING ,10834,26070, -   ,28747,19.1,11.7,8.5,5.4,5.8,50.4,78,3935
238,TX,BORDEN ,9874,24053, -   ,28174,18.7,10.9,8.1,4.7,5.2,47.6,111,5281
331,NE,ARTHUR ,9953,24450, -   ,27847,18.4,14.6,7.1,4.4,4.8,49.3,202,9952
364,TX,KENEDY ,12372,24921, -   ,19089,12.5,12.2,9,4.3,4.3,42.4,216,9158
393,ND,BILLINGS ,9397,24513, -   ,30983,20.3,12.8,6.7,4.4,4.8,49,290,14197
470,NE,MCPHERSON ,10090,25677, -   ,29717,19.2,13.7,7.7,4.1,4.3,49.1,245,12022
544,CO,SAN JUAN ,6668,27258, -   ,17048,11.8,11.4,6.2,4.3,4.7,38.5,476,18303
660,NE,WHEELER ,9829,24503, -   ,23614,15.7,13.3,7.3,4.3,4.6,45.1,455,20537
724,TX,ROBERTS ,12948,48975, -   ,32614,21.6,17.7,7.2,4.9,5.4,56.8,368,20898
747,TX,KENT ,10296,24865, -   ,25498,17,11.2,7.1,4.5,5,44.8,440,19710
756,NM,HARDING ,9172,25755, -   ,25388,16.7,10.5,6.5,4,4.4,42.2,503,21219
783,CO,MINERAL ,7290,25087, -   ,16565,11.6,11.8,6.6,4.6,5.1,39.8,1018,40475
850,NE,LOGAN ,10903,26392, -   ,34265,22.4,14.7,7.5,4.6,5.1,54.2,399,21641
921,UT,DAGGETT ,8104,29749, -   ,16261,11.3,8.4,7.4,4.6,5,36.8,1084,39860
1068,MT,WIBAUX ,9500,53194, -   ,27068,17.8,14.9,7.4,4.3,4.6,48.8,587,28666
1095,TX,HARTLEY ,13658,50862, -   ,34482,22.7,18.4,8.5,5.2,5.7,60.6,444,26902
1117,CO,GILPIN ,7946,50213, -   ,19807,13.8,14,6.3,4.8,5.5,44.4,847,37631
1384,TX,MOTLEY ,9665,26002, -   ,24985,16.5,10.8,7.1,4.2,4.5,43.2,805,34748
1409,MS,ISSAQUENA ,11762,25648, -   ,17442,11.3,12.9,8.6,3.8,3.7,40.3,461,18585
1577,CO,JACKSON ,8380,52720, -   ,21184,14.3,14.8,7.1,4.5,4.9,45.5,1145,52146
1699,TX,THROCKMORTON ,12333,33453, -   ,25346,16.8,13.1,7.2,4.3,4.6,46.1,951,43828
1707,TX,FOARD ,12814,39875, -   ,25413,16.7,13.8,7.1,4.1,4.3,46,921,42332
1832,KS,WALLACE ,13269,53172, -   ,30911,20.3,19.9,7.7,4.6,5,57.5,823,47296
1844,CO,DOLORES ,8467,41562, -   ,26129,17.4,14.1,7.1,4.5,4.9,48,1032,49527
1860,TX,COTTLE ,12341,39950, -   ,23018,15.2,13.5,6.9,4,4.3,43.8,1053,46088
1897,GA,WEBSTER ,12142,26101, -   ,23537,15.6,13.4,7.9,4.4,4.7,46,873,40161
1941,TX,JEFF DAVIS ,11218,27448, -   ,24092,16.1,12,7.1,4.4,4.9,44.5,1222,54377
2033,KS,COMANCHE ,13263,51276, -   ,23430,15.6,19.6,6.6,4.2,4.6,50.7,1121,56850
2071,TX,EDWARDS ,11065,25947, -   ,24485,16,11.8,8.1,4.2,4.4,44.5,1177,52389
2160,KS,LANE ,14047,58695, -   ,26726,17.9,21,7.1,4.7,5.2,55.9,1064,59498
2231,CO,CHEYENNE ,10430,50326, -   ,27900,18.6,16.9,7.5,4.9,5.3,53.3,1105,58853
2257,NM,DE BACA ,9941,35740, -   ,22996,15.2,11.9,7.1,4.1,4.3,42.5,1314,55897
2386,TX,SHERMAN ,12487,48843, -   ,28798,19,17.2,8.1,4.6,4.9,53.7,961,51612
2419,NE,GARDEN ,11125,46319, -   ,23780,15.8,17.2,6.4,4.1,4.5,48,1814,87000
2442,KS,CLARK ,14485,56700, -   ,26557,17.7,21.2,7.2,4.6,5,55.7,1123,62544
2458,KS,STANTON ,14342,56393, -   ,27039,18.2,20.9,8.2,5.1,5.6,58.1,1032,59935
2513,KS,WICHITA ,13808,57718, -   ,26930,17.9,20.6,7.8,4.7,5.1,56,1113,62353
2709,KS,GRAHAM ,13285,57030, -   ,24614,16.4,20.1,6.8,4.4,4.8,52.5,1419,74429
2745,KS,HAMILTON ,13239,55684, -   ,26165,17.4,19.9,7.5,4.5,4.9,54.2,1241,67283
