Population,State,County,electricity (kWh),Nat. Gas (cu.ft.),FUELOIL (gallons),Vehicle miles traveled, Transport (tCO2e/yr) , Housing (tCO2e/yr) , Food (tCO2e/yr) , Goods (tCO2e/yr) , Services (tCO2e/yr) , Total Household Carbon Footprint (tCO2e/yr) , Households , Total County Carbon Footprint (tCO2e/yr) 
10,AK,JUNEAU ," 4,128 "," 26,034 ", 72 ," 8,074 ", 5.9 , 6.1 , 3.8 , 3.1 , 3.5 , 22.3 ,85," 1,892 "
4336,AK,YUKON KOYUKUK ," 5,582 "," 26,607 ", 346 ," 10,364 ", 7.5 , 5.4 , 8.8 , 4.7 , 5.0 , 31.4 ,1132," 35,513 "
15981,AK,BETHEL ," 5,938 "," 26,562 ", 557 ," 11,799 ", 8.5 , 3.0 , 11.6 , 5.4 , 5.6 , 34.0 ,1239," 42,165 "
1745,AK,LAKE AND PENINSULA ," 6,092 "," 25,539 ", 580 ," 11,821 ", 8.6 , 8.2 , 9.4 , 5.2 , 5.5 , 37.0 ,819," 30,276 "
5098,AK,ALEUTIANS WEST ," 5,362 "," 23,407 ", 502 ," 17,588 ", 13.4 , 2.4 , 7.7 , 6.7 , 7.8 , 37.9 ,352," 13,344 "
2930,AK,NOME ," 6,237 "," 25,718 ", 617 ," 9,410 ", 6.8 , 11.3 , 11.6 , 5.1 , 5.1 , 39.9 ,804," 32,062 "
7015,AK,WADE HAMPTON ," 6,227 "," 27,352 ", 561 ," 9,390 ", 6.5 , 12.9 , 13.3 , 5.1 , 4.9 , 42.6 ,1933," 82,363 "
4915,AK,DILLINGHAM ," 6,310 "," 24,038 ", 638 ," 14,207 ", 10.1 , 12.3 , 9.9 , 5.3 , 5.6 , 43.2 ,1772," 76,619 "
5148,AK,NORTH SLOPE ," 7,485 "," 24,851 ", 96 ," 13,332 ", 10.6 , 8.1 , 9.8 , 7.0 , 7.8 , 43.4 ,1815," 78,726 "
5726,AK,PRINCE WALES KETCHIKAN ," 6,236 "," 23,816 ", 438 ," 18,667 ", 13.1 , 11.8 , 8.2 , 5.2 , 5.8 , 44.0 ,2663," 117,272 "
4498,AK,NORTHWEST ARCTIC ," 5,658 "," 25,664 ", 599 ," 10,590 ", 8.2 , 12.8 , 11.1 , 6.1 , 6.6 , 44.9 ,1309," 58,709 "
679,AK,YAKUTAT ," 5,990 "," 24,294 ", 596 ," 15,843 ", 11.6 , 13.7 , 7.8 , 5.5 , 6.2 , 44.9 ,402," 18,052 "
2693,AK,ALEUTIANS EAST ," 6,715 "," 20,659 ", 704 ," 13,075 ", 9.8 , 15.6 , 7.8 , 5.5 , 6.2 , 45.0 ,705," 31,690 "
969,AK,SKAGWAY HOONAH ANGOON ," 6,092 "," 24,266 ", 488 ," 20,777 ", 14.8 , 12.4 , 6.3 , 5.4 , 6.2 , 45.1 ,649," 29,295 "
1258,AK,BRISTOL BAY ," 6,143 "," 24,419 ", 623 ," 16,961 ", 12.4 , 14.1 , 7.8 , 5.7 , 6.5 , 46.5 ,979," 45,553 "
14066,AK,KETCHIKAN GATEWAY ," 5,659 "," 22,594 ", 516 ," 20,059 ", 14.4 , 12.6 , 7.7 , 5.8 , 6.6 , 47.1 ,6187," 291,101 "
5883,AK,WRANGELL PETERSBURG ," 6,100 "," 22,475 ", 551 ," 21,111 ", 14.9 , 13.2 , 7.6 , 5.5 , 6.2 , 47.3 ,2886," 136,601 "
8787,AK,SITKA ," 5,711 "," 21,171 ", 508 ," 20,531 ", 14.7 , 12.6 , 7.9 , 5.9 , 6.7 , 47.6 ,3571," 170,084 "
10093,AK,VALDEZ CORDOVA ," 6,485 "," 24,802 ", 509 ," 22,658 ", 16.0 , 12.8 , 7.7 , 5.8 , 6.6 , 48.9 ,5043," 246,832 "
1900,AK,DENALI ," 5,854 "," 26,714 ", 392 ," 22,962 ", 16.5 , 13.4 , 6.8 , 6.0 , 7.1 , 49.7 ,1473," 73,247 "
49628,AK,KENAI PENINSULA ," 7,704 "," 54,805 ", 215 ," 23,088 ", 16.0 , 14.9 , 7.9 , 5.5 , 6.2 , 50.5 ,24252," 1,224,998 "
4154,AK,SOUTHEAST FAIRBANKS ," 6,810 "," 23,671 ", 436 ," 23,497 ", 16.1 , 14.9 , 8.6 , 5.3 , 5.8 , 50.7 ,2056," 104,241 "
13911,AK,KODIAK ISLAND ," 6,171 "," 22,456 ", 617 ," 23,419 ", 16.4 , 14.0 , 9.2 , 6.2 , 6.9 , 52.7 ,4963," 261,466 "
