,electricity,natural_gas,fuel_oil,vehicle_miles,housing_fp,county_total_fp
0,6861.0,35119.0,0,20684,7.4,139626359
1,7681.0,35613.0,1,25857,8.1,1817869
2,6481.0,64899.0,1,25415,9.6,5313560
3,5727.0,26886.0,8,24737,6.8,340582
4,5620.0,34632.0,34,23821,7.6,1531147
5,7140.0,42460.0,1,24111,8.3,3029862
6,5217.0,26149.0,163,22938,9.0,169888
7,6024.0,27815.0,6,17334,6.8,424653
8,6360.0,38444.0,1,24316,7.6,5990811
9,6866.0,39766.0,1,25628,8.1,2106150
10,6739.0,36500.0,9,26617,8.1,2015189
11,7694.0,34169.0,0,25047,7.9,47379355
12,7875.0,43841.0,3,28502,9.0,5366932
13,5840.0,25880.0,126,22989,8.3,435530
14,8682.0,41175.0,0,24508,9.1,27271886
15,7277.0,41096.0,0,22352,8.3,20670484
16,7400.0,60698.0,1,33498,9.7,893689
17,8384.0,46314.0,0,24337,9.0,28025418
18,6876.0,33259.0,1,23111,7.6,45982784
19,5217.0,37417.0,1,14754,6.9,13443701
20,7455.0,42081.0,1,24769,8.4,8607841
21,6549.0,37336.0,1,25256,7.7,4421425
22,6563.0,40201.0,1,25609,7.9,12862489
23,6714.0,36520.0,0,24462,7.7,6435334
24,6773.0,44267.0,1,27920,8.3,31678795
25,6266.0,41800.0,3,25873,7.9,5701156
26,6746.0,39055.0,16,24200,8.2,2978404
27,5765.0,26061.0,72,25378,7.9,80948
28,5559.0,25521.0,224,23373,9.8,931484
29,7802.0,43044.0,0,27386,8.8,6807544
30,7065.0,47381.0,1,26347,8.6,8704835
31,7151.0,48725.0,1,24470,8.7,6889071
32,7086.0,45965.0,1,25500,8.6,1261516
33,6630.0,36116.0,6,23833,7.7,856714
34,5582.0,25770.0,59,22860,7.2,288671
35,8269.0,41335.0,1,23135,8.6,5207801
36,5843.0,27833.0,12,24020,7.1,1126141
37,8462.0,40027.0,0,27703,8.8,13046655
38,6980.0,40230.0,1,22935,8.0,2652718
39,6567.0,39989.0,2,23062,7.9,922056
40,9648.0,59556.0,0,25089,16.7,30445582
41,7689.0,52720.0,4,21989,14.1,276694
42,10173.0,63888.0,0,24342,17.6,14972234
43,7667.0,38633.0,,21117,13.0,280078
44,9315.0,51257.0,,25478,15.7,115355
45,8992.0,57712.0,,24136,15.8,107585
46,9541.0,56457.0,1,23620,16.4,6157296
47,11866.0,65873.0,,28956,19.7,1771221
48,7671.0,51869.0,2,22967,14.0,388900
49,10430.0,50326.0,,27900,16.9,58853
50,8841.0,56246.0,1,24786,15.4,160690
51,8247.0,48251.0,12,24349,14.6,180970
52,6371.0,25299.0,14,18480,9.9,68335
53,10061.0,58242.0,,26498,16.9,76258
54,7706.0,24796.0,,21724,12.2,121156
55,8686.0,46657.0,1,26916,14.8,625788
56,7747.0,55777.0,1,17361,14.2,17627728
57,8467.0,41562.0,,26129,14.1,49527
58,13290.0,69039.0,0,32913,21.5,9871121
59,8986.0,53956.0,1,25423,15.6,1213956
60,12206.0,46197.0,1,42913,18.6,355331
61,9604.0,64994.0,0,24507,17.1,11005153
62,8353.0,62852.0,0,25053,15.4,839977
63,9209.0,53983.0,1,29675,15.8,1080419
64,7946.0,50213.0,,19807,14.0,37631
65,8621.0,48095.0,1,22670,14.6,539579
66,7462.0,46278.0,3,20646,13.3,378653
67,7174.0,24550.0,5,15388,11.8,48066
68,7135.0,44215.0,2,20239,12.9,185065
69,8380.0,52720.0,,21184,14.8,52146
70,10265.0,61597.0,1,26610,17.6,36470877
71,10076.0,50323.0,3,27477,16.5,42113
72,9822.0,57444.0,2,26850,16.8,181327
73,7835.0,59269.0,3,25331,14.7,195005
74,8076.0,46999.0,1,23286,14.1,1002376
75,9443.0,60659.0,1,25681,16.6,5682571
76,7836.0,47981.0,0,21971,13.9,338249
77,10144.0,55253.0,2,26588,16.9,118976
78,8965.0,58446.0,1,24588,15.8,414553
79,9558.0,58059.0,1,24673,16.4,2450909
80,7290.0,25087.0,,16565,11.8,40475
81,8504.0,54018.0,,29019,14.9,299240
82,8150.0,40876.0,4,24625,13.8,500607
83,8902.0,48552.0,2,25720,15.1,723289
84,9132.0,54505.0,1,26815,15.8,545068
85,9583.0,61480.0,1,23683,16.6,439354
86,7925.0,24878.0,3,23211,12.6,90085
87,8821.0,34076.0,2,28499,14.0,537347
88,10286.0,54457.0,13,26201,17.2,110322
89,7585.0,44436.0,1,18364,13.3,414872
90,9596.0,57705.0,1,23920,16.4,301397
91,9398.0,59402.0,0,23250,16.3,2912617
92,9831.0,56029.0,,27503,14.1,141402
93,7937.0,47121.0,9,23572,14.1,353609
94,8147.0,46824.0,2,24136,14.2,569082
95,6896.0,32152.0,8,20765,11.9,70574
96,6668.0,27258.0,,17048,11.4,18303
97,8073.0,38141.0,1,18307,13.3,232992
98,9784.0,58851.0,7,24459,16.9,67671
99,7778.0,46263.0,0,16590,13.6,1125688
100,8890.0,46268.0,1,28359,15.0,581398
101,9454.0,46870.0,,30598,15.6,112311
102,9869.0,59641.0,3,27176,16.9,5203861
103,10039.0,58485.0,1,27760,17.1,222633
104,8029.0,36422.0,453,25899,14.2,18102859
105,7314.0,42955.0,375,22874,13.3,17516326
106,7558.0,27432.0,546,27461,14.6,4291856
107,7206.0,25445.0,554,26621,14.3,3604590
108,6962.0,37480.0,421,22277,13.3,16643988
109,6934.0,26012.0,552,24589,14.2,5715158
110,7594.0,23725.0,609,29633,15.1,2948924
111,7041.0,25591.0,562,26189,14.3,2251444
112,11206.0,36650.0,218,22705,13.9,2323819
113,11988.0,48803.0,186,21374,14.9,10092996
114,10455.0,25221.0,223,20299,12.8,4300895
115,10447.0,17570.0,13,19613,10.8,4097176
116,11384.0,17602.0,25,26759,12.1,371809
117,10457.0,17114.0,4,19617,11.6,3336541
118,11550.0,18081.0,27,22343,11.9,400567
119,11660.0,15934.0,7,20773,11.6,10190380
120,11705.0,13979.0,1,18717,11.2,32176711
121,10884.0,18817.0,2,20876,12.0,353340
122,11302.0,13509.0,1,18670,11.0,3629740
123,10832.0,14445.0,5,19733,10.8,2806606
124,11935.0,16383.0,15,26472,12.0,2673335
125,11614.0,13879.0,2,19272,11.2,6357155
126,11265.0,18170.0,19,21079,11.6,980991
127,10313.0,17789.0,18,20166,10.8,284870
128,10244.0,15891.0,34,19701,11.0,14265436
129,11348.0,19834.0,1,19242,12.5,5260691
130,11071.0,14507.0,6,21263,11.1,1040852
131,9833.0,17385.0,10,16797,10.4,238234
132,11639.0,20165.0,17,20699,11.9,767886
133,10742.0,17058.0,16,22438,11.0,240217
134,10517.0,13912.0,5,18467,10.3,127817
135,11742.0,20017.0,3,18119,12.1,366882
136,11267.0,19495.0,14,19669,11.6,220027
137,12075.0,16899.0,8,21234,11.7,445238
138,11771.0,14956.0,3,21668,11.3,594481
139,11229.0,14529.0,3,20290,11.1,2673306
140,10551.0,13967.0,3,17514,10.5,1867598
141,11215.0,14685.0,5,20199,11.1,18916739
142,10695.0,17577.0,6,21957,11.8,280945
143,10690.0,13791.0,5,19477,10.7,2728564
144,11244.0,18308.0,12,20967,12.4,868586
145,11674.0,18608.0,33,22752,12.1,215401
146,11801.0,19554.0,2,22250,11.8,82710
147,11331.0,15842.0,8,20539,11.3,4760585
148,11248.0,13642.0,1,18631,10.9,10335252
149,9916.0,16839.0,16,20427,10.5,4425567
150,11039.0,17410.0,18,21414,11.3,634867
151,10626.0,18621.0,4,21015,10.9,127501
152,11119.0,20633.0,7,20296,11.4,333955
153,10868.0,14055.0,5,18433,10.7,10427591
154,11166.0,16193.0,16,19911,11.3,5142377
155,11085.0,13823.0,2,19238,10.9,2932230
156,12366.0,14124.0,1,19023,11.4,37339325
157,11132.0,15542.0,1,15037,10.8,2029085
158,11381.0,16453.0,11,24625,12.1,1253323
159,11666.0,19207.0,1,21690,12.7,4033485
160,10838.0,14748.0,5,19835,10.7,742179
161,11234.0,15144.0,13,20610,11.2,16758150
162,11700.0,15108.0,4,20705,11.4,3301053
163,11459.0,13872.0,2,18877,11.1,24271556
164,10666.0,14182.0,3,19440,10.7,8472998
165,10176.0,13928.0,16,17188,10.4,18965794
166,11709.0,15034.0,8,19873,11.5,12034444
167,10876.0,17973.0,14,19857,11.2,1309814
168,11716.0,17065.0,1,24384,12.6,2487314
169,10949.0,13648.0,7,18668,10.9,8197068
170,12211.0,16159.0,10,23560,12.1,6461684
171,10757.0,15879.0,13,19942,10.9,758761
172,10967.0,18727.0,20,21733,11.4,707756
173,11393.0,19715.0,5,19456,11.5,384815
174,11033.0,18079.0,21,24121,11.4,173061
175,10319.0,15015.0,22,19641,10.7,8767737
176,11387.0,17868.0,4,24734,11.4,488939
177,11055.0,16974.0,2,20930,12.0,853727
178,11116.0,18282.0,7,21461,12.2,418395
179,12722.0,26998.0,7,23409,14.0,351358
180,12441.0,25775.0,8,23276,13.7,164016
181,13317.0,28607.0,2,22375,14.5,179443
182,12370.0,33266.0,3,21146,14.1,781758
183,12136.0,28305.0,9,31106,13.7,515663
184,12855.0,31041.0,5,30276,14.4,982223
185,13407.0,34113.0,6,29093,15.0,1521842
186,12421.0,28947.0,2,20653,13.8,355592
187,12665.0,27074.0,8,23821,13.9,342442
188,13166.0,39183.0,1,21261,15.1,3487510
189,13183.0,30277.0,4,24938,14.5,253861
190,12825.0,25530.0,4,26345,13.9,278367
191,12988.0,28141.0,7,21696,14.3,253403
192,14812.0,28531.0,6,31752,15.7,575803
193,11628.0,26139.0,8,22559,13.1,948481
194,12703.0,28728.0,8,22858,14.1,384015
195,12961.0,29120.0,3,27222,14.2,434196
196,13556.0,27719.0,3,24460,14.6,846586
197,11964.0,25936.0,13,21575,13.4,157567
198,13281.0,35182.0,4,26981,14.9,1855470
199,12642.0,32410.0,9,28980,14.6,845357
200,12764.0,28231.0,11,23607,14.2,151602
201,13533.0,34748.0,2,20271,15.0,4757776
202,12247.0,26003.0,4,23712,13.5,62384
203,12117.0,36624.0,14,24887,14.4,542608
204,16703.0,44738.0,4,32327,18.3,4500188
205,10641.0,32646.0,5,20306,12.7,1883072
206,14105.0,44187.0,1,23680,16.1,3740950
207,12403.0,27328.0,6,21773,13.7,127236
208,15596.0,47024.0,1,27094,17.6,13868555
209,12490.0,26829.0,4,22088,13.7,724919
210,12912.0,28090.0,7,21412,14.2,786704
211,16085.0,39433.0,4,28146,17.5,5973100
212,12754.0,27485.0,12,23519,14.1,307449
213,15673.0,39635.0,6,30185,17.1,1960937
214,13553.0,30355.0,2,27270,14.8,120149
215,12121.0,29649.0,5,19422,13.7,407385
216,12092.0,29134.0,15,28183,14.0,298824
217,13399.0,27907.0,20,31904,14.8,405888
218,12814.0,28721.0,2,23289,14.0,390147
219,12706.0,30559.0,5,21843,14.2,205114
220,12296.0,30808.0,2,19255,13.8,1859800
221,15383.0,42643.0,1,29496,17.0,2107893
222,12979.0,26261.0,10,25725,14.1,18366
